label,topic_tokenized
2, 3m q3 earn per share 233 
2, abn amro barclays wealth 
2, drive best mcilroy scott 
2, hsbc ey heritage capital 
2, hsbc decide stay britain 
2, jpmorgan bet whale trade 
2, maa q2 ffo per share 154 
2, pnc bank sell 1 bln note 
2, sp summary accenture plc 
2, sp summary hdfc bank ltd 
2, tmobile add record spree 
2, unicredit morgan stanley 
2, white house race go wire 
2, halo shine apple virnetx 
2, zayo sell 125 bln 2 part 
2, blackrock barclays amundi 
2, blackrock barclays amundi 
2, china navy break high sea 
2, conway freight raise rate 
2, costco ceo step next year 
2, dayton 75 georgia tech 61 
2, deutsche bank marsh towry 
2, goldman deutsche bank ubs 
2, mazquarie hsbc scotiabank 
2, philip turn tv turnaround 
2, pinnacle food mandate ipo 
2, pnc earn line expectation 
2, prudential bank singapore 
2, search next alibaba india 
2, solid 3q16 earn u bancorp 
2, texas state 42 wyoming 21 
2, energy sector summer love 
2, tjx report dec store sale 
2, xilinx expect demand pick 
2, accenture acquire ops rule 
2, amgen extend trade comment 
2, beef price go high jbs say 
2, bp price dual tranche deal 
2, buzzuk bank ubs cut target 
2, co q1 revenue eur 1635 mln 
2, ecolab inc file offer note 
2, fast cost cut boost orange 
2, fiserv extend trade result 
2, fitch digital realty trust 
2, freescale name ti lowe ceo 
2, g4s swap adviser deal flop 
2, honda outsell toyota china 
2, hr block rule bode ill att 
2, hsbc go digital mydeal app 
2, hsbc uk hit another glitch 
2, ibm weather co work airmap 
2, ice complete takeover nyse 
2, illumina share 43 pct bell 
2, nigerian naira firm dollar 
2, nokia look bolton deal cfo 
2, ocp ibm form joint venture 
2, poland factor watch jan 25 
2, puma sprint record q2 sale 
2, sap say buy ticketweb gmbh 
2, sp summary astrazeneca plc 
2, tnt slump pull bid eu veto 
2, unilever share open 35 pct 
2, hire 95 000 holiday season 
2, u fda advisory meet nov 16 
2, u fda advisory meet oct 17 
2, u fda advisory meet sept 9 
2, walmart share u store data 
2, wall street journal july 12 
2, adp send letter stockholder 
2, affirm honda outlook stable 
2, arizona state 78 colgate 71 
2, avalonbay sell 250 mln note 
2, blackrock gazprom man group 
2, britain close sale rb share 
2, buzzlloyds jp morgan cut pt 
2, canon buy back 12 pct share 
2, clorox reject icahn bid low 
2, clorox reject icahn bid low 
2, cub deal pirate costly loss 
2, factbox syria energy sector 
2, fitch affirm black gold ltd 
2, fitch rate corn senior note 
2, marriott revenue rise 4 pct 
2, novaled ag file ipo 200 mln 
2, pg raise dividend 7 percent 
2, rb fin 612 million rate rig 
2, sp cut duke energy corp rat 
2, sysco q1 earn per share 058 
2, transocean 10 gulf spillceo 
2, uk bank allow cut cash hold 
2, intel sell 6 bln note 4 part 
2, acteon 16 blillion sale kick 
2, advisorycanon story withdraw 
2, baltimore oriole playerwatch 
2, bank america share premarket 
2, barclays fc investment marsh 
2, blackrock sell 15 bln 2 part 
2, malaysia reform discriminate 
2, ee partner bt mobile service 
2, eib add 200 mln stg 2017 frn 
2, eib add 200 mln stg 2018 frn 
2, emc hold vmware stake source 
2, equinix profit miss estimate 
2, exelon post q1 earn 019share 
2, feed revise stress test loss 
2, fitch affirm southern co rat 
2, play amazon stock stoke earn 
2, hsbc say weigh buyback share 
2, italy cdp eye buy stake snam 
2, kuwait alafco q1 profit rise 
2, lorenzo say turn honda offer 
2, mcdonald ceo thompson retire 
2, nike cfo donald blair retire 
2, nike score reebok tebow case 
2, nxp semiconductor q1 shr 379 
2, nxp semiconductor q4 shr 037 
2, omerta ha break say hamilton 
2, paulson co share stake fedex 
2, pg declare dividend increase 
2, pg name david taylor ceo wsj 
2, safran soar jet spare demand 
2, sp summary westpac lifenzltd 
2, spimaco sign mou astrazeneca 
2, target store cofounder dy 88 
2, tsmc order equipment t23 bln 
2, tsx climb u data german vote 
2, verizon redeem debt security 
2, visa sign mou china unionpay 
2, slim iphone isnt good enough 
2, slim iphone isnt good enough 
2, accenture acquire ibb consult 
2, acrebit sign deal bell polska 
2, adm say four executive retire 
2, asml see slowdown chip sector 
2, bank america delist tse may 1 
2, bat q1 volume edge 07 percent 
2, bg tempt chinese oil group ft 
2, cisco buy cloupia 125 million 
2, citi threadneedle hsbc ubs ag 
2, citi threadneedle hsbc ubs ag 
2, crude oil gain cap worry feed 
2, diageo splash tap whisky boom 
2, ecopetrol sa report q3 result 
2, eib add 250 mln stg 2015 bond 
2, exxon begin repair north line 
2, fitch affirm bbva5 ftpyme fta 
2, fitch affirm china mobile aaa 
2, fitch affirm cocacola inc rat 
2, fitch rate cnpc usd bond aexp 
2, fitch rate nextera energy inc 
2, hsbc morgan stanley blackrock 
2, hsbc walker crips jc rathbone 
2, humana sell 1 bln note 2 part 
2, ibm ramp data analytics offer 
2, india ola icici bank sign mou 
2, jp morgan barclays bny mellon 
2, lilly ceo return work surgery 
2, magna ontario team green auto 
2, magna ontario team green auto 
2, metlife q3 earn per share 051 
2, moody affirm aetna humana rat 
2, nextera energy report q2 earn 
2, oil rally euro equity eu deal 
2, paulson co share stake pfizer 
2, pentagon no2 bid farewell arm 
2, petrochina q3 net profit leap 
2, pfizer plan animal health ipo 
2, rlpc comcast market 625b refi 
2, rlpc price emerge abbott loan 
2, roche dig long fight illumina 
2, russia plan orbit hotel space 
2, sp summary aisin seiki co ltd 
2, sunpower name insider act cfo 
2, taiwan stock rise heavyweight 
2, technicolor philip join force 
2, tsmc order equipment t103 bln 
2, tsmc say aug sale 32 pct year 
2, uk pru say update asia u unit 
2, vf corp q4 loss per share 018 
2, sunday british business oct 21 
2, aep retire coalfired unit plan 
2, american gun mcilroy say monty 
2, allstate q1 earn per share 179 
2, amazon plan sell 50 tablet wsj 
2, amex report low revenue 5 year 
2, asia shoulder much hsbc burden 
2, asx stellarone adia aon hewitt 
2, bank america earn improve 2q16 
2, barclays rbc wealth management 
2, baxter q2 earn 219shr cont ops 
2, bbva buy finnish startup holvi 
2, bernanke europe hold key rally 
2, bernstein cut 3m marketperform 
2, bp vow return cash shareholder 
2, business borrow jump june elfa 
2, castellum lease microsoft lund 
2, cigna file potential mix shelf 
2, cocacola femsa q4 eps 169 peso 
2, contractor battle military cut 
2, contractor battle military cut 
2, contractor battle military cut 
2, coop bank firsthalf loss widen 
2, eu price 23 bln euro 2028 bond 
2, extendicare announce q1 result 
2, fitch rate att credit facility 
2, goldman aviva reliance capital 
2, comcast boost chance snare fox 
2, hsbc rowe price lj partnership 
2, hsbc may cut 10 000 job report 
2, merck lose nasonex patent case 
2, moody cut rat intesa unicredit 
2, mplx respond ferc announcement 
2, philip sign deal tpv switch tv 
2, pnc continue report solid earn 
2, prologis q1 earn per share 068 
2, rb raise 22 billion bond issue 
2, red hat share fall weak result 
2, sap alibaba team cloud service 
2, seaworld close file ipo source 
2, sp cut sony rat warn downgrade 
2, speculator short u dollar cftc 
2, state street hire new cfo emea 
2, streelman bjorn lead world cup 
2, suncor energy declare dividend 
2, swiss stock factor watch aug 8 
2, taiwan tsmc sell 51 pct xintec 
2, timeline nokia rocky road elop 
2, timeline takata air bag recall 
2, tnt express plan disposal loss 
2, treasury sell aig common stock 
2, tsmc order machinery equipment 
2, tsmc say june sale 12 pct year 
2, tsx end high valeant cibc gain 
2, u cyber arrest see lead hacker 
2, walmart sign bangladesh accord 
2, weak trade bite goldman profit 
2, watch week ahead monday aug 17 
2, whatsapp limit message forward 
2, williams q1 earn per share 045 
2, yum china woe slam sale profit 
2, aflac inc q4 earn per share 595 
2, aig q1 net income 178 per share 
2, amgen signal rd change employee 
2, apple file potential note offer 
2, apple juggernaut see china gain 
2, att revenue forecast share fall 
2, australian business news aug 19 
2, australian general news july 21 
2, basf add 200 mln euro 2021 bond 
2, bbva poise sell debut euro coco 
2, buffett say sell share ibm cnbc 
2, buffett say jury procter gamble 
2, burger king eye china expansion 
2, cdc urge american get flu shoot 
2, china warn u f16 upgrade taiwan 
2, china warn u f16 upgrade taiwan 
2, citigroup inc sell 500 mln note 
2, corolla toyota car mass turn 50 
2, costco ceo legacy continue step 
2, costco buy partner mexican unit 
2, court battle loom u att tmobile 
2, cp rail say talk teamster break 
2, dow record sp flat energy weigh 
2, eib add 250 mln euors 2019 bond 
2, eib price 500 mln stg 2019 bond 
2, empty pocket hurt retailer citi 
2, energy union ratify deal suncor 
2, ethical economy favor live wage 
2, factbox apple history milestone 
2, fiserv q4 revenue beat estimate 
2, gasoline push inflation january 
2, german union plan strike amazon 
2, google visa team mobile payment 
2, google visa team mobile payment 
2, gsk china escape shadow scandal 
2, hca preview 2016 operate result 
2, hunt yield hybrid flourish anew 
2, india morning callglobal market 
2, india morning callglobal market 
2, india morning callglobal market 
2, india morning callglobal market 
2, india morning callglobal market 
2, india morning callglobal market 
2, india morning callglobal market 
2, india morning callglobal market 
2, india morning callglobal market 
2, india morning callglobal market 
2, india morning callglobal market 
2, india morning callglobal market 
2, recommend vote icahn plan apple 
2, itau unibanco sell 125 bln note 
2, kimberlyclark q4 adjust eps 145 
2, kimberlyclark report q1 eps 157 
2, kohl sale profit outlook upbeat 
2, lloyd ceo buy 50 000 share bank 
2, look hand test drive google car 
2, look hand test drive google car 
2, lowe narrow sale gap home depot 
2, make texas apple a5 iphone chip 
