label,topic
0,novartis confirms 5 year data for first  only fullyhuman il17a inhibitor cosentyx reinforcing sustained efficacy  safety profile in psoriasis 
0,cigna says to reaffirm projected fy 2017 consolidated adjusted income from operations  which remains in range of 250  258 bln  sec filing 
0,liberty global ziggo secures finance and bank of nova scotia as facility agent enters into eur 2 5892 mln additional facility accession deed 
1,kinder morgan says terminals along houston ship channel  gulf coast secured mobilizing resources to resume full operations as soon as possible 
0,dollar tree cfo kevin wampler reports open market sale of 12 559 shares of co common stock on nov 30 at average price of 10389 per share 
0,verizon  customers in southern california areas hardest hit by wildfires will be offered free unlimited talk  text and data from dec 7dec 10 
0,abbott laboratories says shareholders rejected proposal requesting board of directors adopt policy that board chairman be independent director 
0,salesforcecom inc says  on april 21  ceo marc benioff sold 12 500 shares in multiple transactions at price range between 76667763share 
0,hershey trust to reach settlement with pennsylvania attorney general to resolve probe  would lead to director resignations cnbc  citing dj 
0,pioneer natural resources during q4  terminated interest rate derivative contracts on notional amount of 150 mln for cash proceeds of 7 mln 
0,us consumer product safety commission says hp expands recall of batteries for hp and compaq notebook computers due to fire and burn hazards 
0,news corp says expects to incur 30 mln40 mln restructuring charges during remainder of 2017 in connection with reorganization at dow jones 
0,intelgenx technologies says eli lilly granted versafilm exclusive license for tadalafil film product under erectile dysfunction dosing patent 
0,effector therapeutics to collaborate with pfizer and merck to evaluate immunooncology combination in microsatellite stable colorectal cancer 
0,sirius xm holdings  sirius xm radio prices offering of 750 mln of 3875 pct senior notes due 2022  125 bln of 5 pct senior notes due 2027 
0,procter  gamble files preliminary proxy statement  urges co shareholders not to sign or return white proxy card sent by trian  sec filing 
0,fibrogen announces acceptance by china fda of roxadustat nda for treatment of anemia associated with dialysis and nondialysis kidney disease 
0,equity international  goldman sachs merchant banking division  centaurus capital announce formation  300 mln investment of arg realty group 
0,citigroup inc files prospectus supplement related to offering of 125 billion 4044 percentage fixed ratefloating rate callable senior notes due 2024 
0,novartis announces data from trial to show superior efficacy of gilenya over copaxone in patients with relapsing remitting multiple sclerosis 
0,opdivo nivolumab demonstrates overall survival benefit in patients with unresectable advanced or recurrent gastric cancer in phase 3 study 
0,zeta global says has secured 140 mln in its series f financing round from gpi capital  funds sponsored by franklin square capital partners 
1,gilead says stockholders did not approve proposal requesting board take steps to adopt policy that chairman of board be independent director 
0,nine energy service says it adds bofa merrill lynch  credit suisse  raymond james and simmons  company international to underwriters to ipo 
0,moody assigns a2 rating and stable outlook to metropolitan transportation authority transportation revenue refunding bonds series 2012d 
0,sony unit told striking workers at a factory here wednesday that they will be fired unless they resume their jobs within the week nikkei 
0,lockheed martin says second gps iii satellite be now assembled and preparing for environmental testing  and third satellite be close behind 
0,boehringer ingelheim and eli lilly collaborate to create a predictive model to help improve health outcomes for people with type 2 diabetes 
0,chubb announces preliminary q4 catastrophe loss estimates  including california wildfires  of about 320 mln pretax  or 249 mln after tax 
0,walgreens boots alliance expects to obtain cash tax benefit in excess of 200 mln for fiscal year 2018  due to enacted us tax legislation 
0,moody revises the outlook to stable from negative on the greater new orleans expressway commission revenue bonds baa1 rating affirmed 
1,moody assigns aaavmig1 rating to new jersey turnpike authority turnpike revenue bonds   series 1991 d  series 2009 c and series 2009 d 
0,crius energy says entered into 5year strategic deal with comcast to jointly offer integrated energy platform to service providers in us 
0,sherwinwilliams and valspar reach agreement to sell valspar north american industrial wood coatings business to axalta coatings systems 
1,abbott announces extension of cash tender offer for all outstanding shares of series b convertible perpetual preferred stock of alere inc 
0,ema validates bristolmyers type ii variation application for opdivo for treatment of patients with resected highrisk advanced melanoma 
0,regeneron and sanofi announce positive topline pivotal results for pd1 antibody cemiplimab in advanced cutaneous squamous cell carcinoma 
0,ebay says introducing under 10  offering a variety of 10  under items in various categories with free shipping  no bidding required 
0,apple says court entered order for preliminary approval of settlement of in re apple ebook derivative litigation case no 114cv269543 
0,moody determines no negative rating impact due to updates to programme documents on banques populaires covered bonds covered bond programme 
0,updatemoody no rating impact on notes issued by bancaja 3 fondo de titulizacion de activos following royal bank of scotland plc downgrade 
0,scotiabank intends to exercise right to redeem all outstanding noncumulative preferred shares series 17 of scotiabank on april 26  2017 
0,toisa says chevron agreed to ratify its charter with co united ideal vessel to cover a 30day voyage from arabian gulf to south africa 
1,celgene and nimbus therapeutics enter longterm strategic immunology alliance to develop programs for patients with autoimmune disorders 
0,boeing says co  netherlands ministry of defence sign agreement that upgrades 6 rnlaf chinook helicopters to latest fmodel configuration 
0,eog resources sees rate change from tcja to lower income tax provision  comprehensive income of about 22 bln for quarterended dec 31 
0,ge   harbin electric corp awarded ge power order for 2 9f05 gas turbines for state power investment corporation langfang power plant 
0,amgen says in april  co board increased the amount authorized under co stock repurchase program by an additional 5 bln  sec filing 
0,jj says at meeting  shareholders elected all 11 director nominees named in 2018 proxy statement to co board of directors  sec filing 
0,baxter presented exploratory research on the removal of inflammationrelated molecules during extracorporeal blood purification therapy 
1,intercontinental exchange and magellan midstream launch auction for short term crude storage capacity at magellan east houston terminal 
0,correction to headline and text  july 31  2012 release moody affirms concho resources bonds at b1 and changes its outlook to stable 
0,international brotherhood of teamsters urges fedex shareholders to vote against advisory vote to approve executive compensation at agm 
1,united parcel service launches a beta version of a chatbot which helps users find ups locations  get shipping rates and track packages 
0,td bank expects td ameritrade q1 earnings to translate into contribution of about cdn 111 mln to fiscal 2017 q1 net income for bank 
0,conocophillips to sell foster creek christina lake partnership interest  western canada deep basin gas assets to cenovus for 133 bln 
0,valero energy  plains all american pipeline plan to challenge attempt to block proposed acquisition by valero of certain plains assets 
0,five prime therapeutics earns ind milestone payment under immune checkpoint pathways discovery collaboration with bristolmyers squibb 
0,catasys says entered agreement with cigna for catasys ontrak solution for members with anxiety  depression or substance use disorders 
0,astrazeneca says us fda approves bydureon for use with basal insulin in patients with type 2 diabetes with inadequate glycemic control 
0,northrop grumman  previously disclosed issues on timecharging practices of some employees working on program with remote deployments 
0,moody determines no negative rating impact on certain reve spc dryden xvii series of notes due to proposed credit support agreement 
0,peptidream achieves milestone for initiation of clinical development for bristolmyers squibb first collaboration product candidate 
0,refilemassachusetts attorney general office notifies gilead of decision to suspend co obligations under cid until further notice 
0,nextera energy and oncor electric delivery company file joint merger approval application with the public utility commission of texas 
0,celgene  data on early onset of efficacy for oral otezla in active psoriatic arthritis presented at american college of rheumatology 
1,lockheed martin says we may continue to face pressure to reduce costs from new presidential administration relating to f35 program 
1,celgene corp and bluebird bio announce bb2121 antibcma cart cell therapy has been granted breakthrough therapy designation from fda 
0,enbridge inc and spectra energy partners announce definitive agreement and completion of elimination of incentive distribution rights 
1,moody assigns aaa rating to the village of buffalo grove il 6 million general obligation corporate purpose bonds  series 2012 
0,janssen reports clinical trial collaboration and supply agreement with amgen to evaluate daratumumab in combination with carfilzomib 
0,avalonbay communities sees total rental revenue for established communities for quarter ending march to increase between 3132 pct 
0,diamond offshore drilling says presiding panel of appellate judges ruled unanimously against petrobras appeal and upheld injunction 
0,twentyfirst century fox unit extended until april 6 expiration date of offer to exchange up to 450 mln of 3375 pct notes due 2026 
0,diplomat pharmacy on march 31 co  units  celgene entered into pharmacy distribution  services agreement to be effective july 1  2017 
1,cigna says reaffirms projected fy2017 consolidated adjusted income from operations  which remains in range of 260 bln to 265 bln 
0,ia financial group enters into arrangement agreement and board of directors recommends new holding company structure to shareholders 
0,edwards lifesciences says entered into credit agreement to establish multicurrency unsecured revolving credit facility  sec filing 
0,amgen presents interim overall survival data from latestage study of talimogene laherparepvec in patients with metastatic melanoma 
0,amazoncom says jeff wilke appointed as ceo of worldwide consumer and andy jassy appointed as ceo of amazon web services blog post 
0,state street notifies us bank national association it intends to exercise its option under terms of indenture  dated dec 15  1996 
0,abbvie and bristolmyers squibb announce clinical research collaboration to evaluate a therapeutic regimen in advanced solid tumors 
0,moody assigns aa3 rating to st clair county boe al 14625m special tax school warrants  series 2012a and series 2012b 
0,moody assigns initial a1 rating to the city of waukee ia 26 million water revenue capital loan notes  taxable series 2012c 
1,moody assigns a3 rating to north shore  long island jewish ny 135 million of series 2012b taxable bonds outlook be stable 
0,theravance biopharma highlights positive results from phase 3 fulfil study of closed triple announced by glaxosmithkline  innoviva 
0,nxp semiconductors will be obligated to pay to qualcomm termination fee equal to 125 bln in cash if nxp enters superior proposal 
0,salesforcecom compensation committee approved changes to compensation arrangements of marc benioff  principal executive officer 
1,enanta pharmaceuticals says ema grants accelerated assessment for abbvie investigational hcv regimen of glecaprevirpibrentasvir 
0,sprint corp says on feb 3 its unit sprint communications entered into a new 6 bln secured revolving and term loan credit facility 
0,mnuchin considering naming ex morgan stanley banker justin muzinich as undersecretary for domestic finance or counselor  politico 
0,bristolmyers and apexigen announce clinical collaboration to evaluate opdivo in combination with apx005m in advanced solid tumors 
0,abbvie says humira will now be reimbursed in british columbia  ontario  new brunswick  newfoundland  labrador  saskatchewan  yukon 
0,general motors files to say the uaw retiree medical benefits trust be offering 40 million shares of co common stock  sec filing 
0,pfizer says in connection with hospira acquisition  expects to incur costs of about 1 bln for up to 3yr period postacquisition 
0,nippon express and amazoncom to start a logistics service to let small and midsize businesses export products to the us nikkei 
0,walgreens says required to redeem multiple notes as pending acquisition of rite aid was not consummated on or before june 1  2017 
0,valero energy corp and plains all american pipeline lp elect to terminate proposed acquisition by valero of certain plains assets 
0,bristolmyers and five prime present earlystage data evaluating cabiralizumab with opdivo in patients with advanced solid tumors 
0,ups capital says announced expansion of ups capital cargo finance service with new options on intransit cargo for us importers 
0,us fda accepts supplemental biologics license application for opdivo in previously treated patients with small cell lung cancer 
1,moody downgrades the supported ratings of spanish banks north american bank subsidiaries all ratings on review for downgrade 
0,amgen and ucb announce positive topline results from the phase 3 study of romosozumab in postmenopausal women with osteoporosis 
0,public service enterprise  files request with new jersey board of public utilities to extend its successful solar 4 all program 
0,first interstate bancsystem terminated its trademark license agreement with wells fargo  co  its affiliated entities on jan 12 
0,european medicines agency validates gilead marketing authorization application for investigational chronic hepatitis c therapy 
0,bbt corp says issued and sold 1 bln aggregate principal amount of its 2750 pct mediumterm notes  series e  due april 1  2022 
0,marriott  on june 1  carey watermark investors 2 acquired charlotte marriott city center hotel for about 170 mln from co unit 
0,flowjo says established a strategic relationship with becton dickinson to catalyze coordination of resources for research market 
0,coeur mining entered into credit agreement as borrower  units as guarantors  bank of america  as administrative agent on sept 29 
0,biohaven restructures license agreement with bristolmyers squibb to reduce royalties payable on its migraine product candidates 
0,southwest airlines says recast certain 2016  2017 financial info to reflect expected effects of adoption of new revenue standard 
0,alphabet cfo says sites tac to continue to increase as percentage of sites revenue  but pace of yy increase to slow starting q2 
0,spectrum pharmaceuticals enters into a nextgeneration sequencing companion diagnostic partnership with thermo fisher scientific 
1,correction to text  april 30  2012 release moody affirms energy transfer partners and reviews sunoco logistics for downgrade 
0,analog devices announces new 5 bln term loan facility in connection with proposed acquisition of linear technology corporation 
0,gsk receives fda approval for expanded indication for flulaval quadrivalent influenza vaccine for infants 6 months and older 
0,advaxis and bristolmyers squibb announce clinical collaboration to evaluate adxsdual and opdivo in metastatic cervical cancer 
0,abbvie submits nda to us fda for investigational oral treatment elagolix for management of endometriosis with associated pain 
0,amgen receives positive chmp opinion to expand use of nplate in pediatric patients with chronic immune thrombocytopenic purpura 
1,enterprise products partnersboard of its general partner declares increase in qtrly cash distribution paid to limited partners 
0,abbvie announces positive topline results from phase 3 study evaluating investigational elagolix in women with uterine fibroids 
0,bank of nova scotia says scotiabank peru reached agreement with cencosud peru to buy 51 percentage controlling interest in banco cencosud 
0,5year study data confirm positive outcomes for patients when abbott diagnostic tool was used to guide heart stenting decisions 
0,updatemoody has assigned definitive ratings to notes issued by closed joint stock company mortgage agent itb 2013  russian rmbs 
0,prosiebensat1 media says blackrock inc notified co that it plans to acquire further voting rights in co within next 12 months 
0,emerson electric says underlying orders were flat  excluding unfavorable currency translation  for trailing threemonth period 
0,aqua metals says johnson controls delivered to co written notice of first facility designated by it for conversion or retrofit 
0,centene announces early termination of hartscottrodino waiting period in connection with planned acquisition of fidelis care 
0,broadcom says expect proposed qualcomm deal will be completed within about 12 months following signing of definitive agreement 
0,regeneron announces fda acceptance of sbla filing for 12week dosing of eyleaaflibercept injection for patients with wet amd 
0,dnanexus inc announced closing 58 mln financing led by new investor foresite capital with strategic investment from microsoft 
0,pfizer doses first patient using investigational mini dystrophin gene therapy for the treatment of duchenne muscular dystrophy 
0,conocophillips says was able to drill a total of 6 wells  including an additional willow appraisal well on western north slope 
0,altaba says on february 20  board of fund authorized new share repurchase program to purchase up to 5 bln of its common stock 
0,amazoncom cfo says effective may 11  going to increase price of us annual plan from 99 to 119 for new members  conf call 
0,sprint capital has amended terms of scc consent solicitation to increase aggregate consent payment for certain series of notes 
1,abbott investigational tendyne device for mitral valve replacement demonstrates positive outcomes at 30 days in global study 
0,moody assigns a1 rating and aa2 enhanced ratings to city of methuen state qualified go bonds mig 1 rating to go bans 
0,halliburton co says selected sandbox logistics as provider for containerized sand delivery  pursuant to a longterm agreement 
0,princess margaret cancer center receives health canada clearance to begin investigatorsponsored phase 2 ovarian cancer study 
0,wells fargo  co  on may 24  court issued order regarding proposed settlement agreement entered by co in class action lawsuit 
0,box  microsoft announce expanded partnership to jointly offer box cloud content management with azure to enterprise customers 
0,celgene reports positive results from phase iii sunbeam trial of oral ozanimod in patients with relapsing multiple sclerosis 
0,bank of america expects to complete sale of consumer credit card business in uk  mbna ltd  to lloyds banking group on june 1 
0,mcdonald shareholder proposal to update policy regarding use of antibiotics by meat suppliers not approved by shareholders 
0,aflac receives notice of unsolicited minitender offer by trc capital corp to buy up to 15 mln shares of aflac common stock 
0,centene says confirms 2017 guidance  excluding expected benefit of tax reform  that was previously announced on dec 14  2017 
0,innovus pharma announces official launch of its amazon  walmart  ebay and wish online stores with combined 116 product skus 
0,abbvie upadacitinib meets primary and key efficacy endpoints in phase 2b3 rheumatoid arthritis study in japanese patients 
1,fleetcor incurred  expects to continue to incur legal  other professional expenses related to unauthorized access incident 
1,moody assigns aaa rating to the city of apple valley mn 71 million go bonds  series 2012a assigns negative outlook 
0,moody assigns mig 1 rating to pma levy and aid anticipation notes program wi taxable note participations  series 2012 
0,moody assigns a1 rating to city of hope ca 343 million of series 2012 bonds outlook revised to positive from stable 
0,exelon corp unit and meag finalize agreement to terminate meag headleases  leases  other agreements before expiration dates 
0,21st century fox leaning towards cleaning house  removing many close to ailes following his departure  cnbc  citing source 
0,qualcomm inc  qualcomm technologies introduces its first 5g new radio spectrum sharing prototype system and trial platform 
0,nanostring technologies says humana has issued a positive coverage decision for prosigna breast cancer gene signature assay 
0,att inc says starting friday  att gophone customers can get unlimited data for 60 a month after they sign up for autopay 
0,analog devices on march 10  2017  in connection with linear technology corp merger  co entered into bridge credit agreement 
0,koninklijke philips couples sustainability performance to interest rate of its new 1 billion euro revolving credit facility 
0,amgen multiple myeloma treatment in combination with dexamethasone  receives nice recommendation for use at first relapse 
0,clayton dubilier  rice and bain capital have begun working together on an offer for unilever spreads business  sky news 
1,icici bank ceo says prudent approach of rbi in reacting to incoming data will reinforce confidence amongst global investors 
0,humana issued redemption notices to redeem its 300 mln aggregate principal amount of 630 pct senior notes due aug 1  2018 
0,philip morris says director li reports open market purchase of 25 000 shares at average price of 8149 per share on may 11 
0,jpmorgan chase  co  board declared a quarterly dividend of 56 cents per share on outstanding shares of common stock of co 
0,updatemoody assigns definitive ratings to notes issued by closed joint stock company mortgage agent absolut 2  russian rmbs 
